duration,protocol_type,src_bytes,dst_bytes,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_file_creations,num_access_files,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_serror_rate,src_ip_encoded,dst_ip_encoded,threat_label,label,src_country,dst_country
4,tcp,42,2307,0,0,0,0,1,0,0,0,0,0,0,92,97,0.5822391588938286,0.8066094631498532,262,271,0.10230119091431622,0.2837055344198325,0.18918434569901932,0.16651103196449524,32,43,normal,1,India,USA
30,udp,10728,32,0,0,2,0,1,0,0,0,0,1,0,104,85,0.9154350036183749,0.8390092555820937,257,246,0.7242442491313378,0.7513517656231354,0.8264500310536501,0.8010651834554805,46,13,suspicious,2,China,USA
13,tcp,4152,247,0,0,0,0,1,0,0,0,0,0,0,110,119,0.38379611315132567,0.877063726901166,263,241,0.3540076629859247,0.8488956668805939,0.7784002127421356,0.5719815537072698,37,13,suspicious,2,Unknown,USA
9,tcp,640,920,0,0,0,0,0,0,0,0,0,1,0,111,105,0.09995526759438,0.5689292443866831,256,258,0.07200055123302507,0.4677671241114184,0.14555942105788922,0.6618241788354455,19,16,normal,1,Brazil,USA
1,tcp,74,5579,1,0,0,0,0,0,0,0,0,1,0,106,93,0.44254187731776484,0.9773442881331219,239,247,0.16293094821830056,0.014246225515293198,0.2341296168202055,0.8115297327044042,29,5,normal,1,USA,USA
1,tcp,1638,380,1,0,0,0,1,0,0,0,0,0,0,100,95,0.35896006552756976,0.43367709622701767,242,240,0.17318421466411016,0.43183211786417564,0.14513711895541836,0.9825796857231556,12,1,suspicious,2,Unknown,Japan
0,tcp,15,165,0,0,0,0,1,0,0,0,0,0,0,101,100,0.9480130035483073,0.16224801521793653,249,252,0.6874619224243085,0.2628812619440689,0.11481097053742118,0.33570061069272805,16,1,normal,1,USA,USA
20,tcp,1278,8437,0,0,1,0,1,0,0,0,0,0,0,112,104,0.6332133856006047,0.28438641640244555,263,241,0.07722865225882525,0.1130731514156541,0.9277519957396699,0.8723725180600899,1,41,suspicious,2,China,USA
9,tcp,949,1344,0,0,0,0,0,1,0,0,1,0,0,97,80,0.424681997488892,0.8776489680285735,267,258,0.20268004661067074,0.1658015804957791,0.2053838503521851,0.7165677112360194,1,2,normal,1,USA,USA
12,tcp,109,3166,0,0,1,0,0,0,0,0,0,0,0,89,114,0.16137540720240362,0.5379960413979684,248,240,0.07070463041828068,0.530765412137788,0.7288916684090658,0.5697607049707117,39,46,normal,1,USA,Canada
0,tcp,1448,65,0,0,0,0,0,0,0,0,0,0,0,96,88,0.2024353742020054,0.940910866804723,257,256,0.3349334109538057,0.2511503693908502,0.27144101402758236,0.9247720132053365,45,6,suspicious,2,Brazil,USA
35,tcp,60,881,0,0,1,0,1,0,0,0,0,1,0,98,99,0.8203847680902144,0.9729693629091525,267,265,0.008663939695445655,0.4315699103033914,0.4628321920517905,0.8527569958861863,48,46,normal,1,USA,USA
17,icmp,11,79,0,0,0,0,0,0,0,0,0,1,0,95,107,0.5775893767057048,0.9621922910796586,276,253,0.9433430328634962,0.6937685782931156,0.7896123760821121,0.11479434258190857,33,3,normal,1,China,UK
2,tcp,1049,56,0,0,0,0,1,0,0,0,1,0,0,112,88,0.13135690896395147,0.235724025596048,246,263,0.20286189852671876,0.62839121543199,0.6239115000313559,0.9536848877363122,30,34,suspicious,2,China,USA
2,udp,125,965,0,0,0,0,0,1,0,0,0,0,0,95,96,0.25911072969431415,0.5623374035416663,299,245,0.5359226978562611,0.9244499831607886,0.7520901684018103,0.10149927317942986,32,3,normal,1,Unknown,UK
2,udp,494,1072,0,0,0,0,1,0,0,0,0,0,0,96,99,0.670950708273747,0.9822934224972806,242,279,0.07426640998818124,0.6744188127859422,0.4640383324048468,0.9800605149652721,13,29,normal,1,Russia,USA
3,tcp,5663,195,0,0,2,0,1,0,0,0,0,0,0,101,108,0.500650183062915,0.2874498687016863,278,260,0.755453325934818,0.00691685652035301,0.25929879314919635,0.3102610736047916,17,4,suspicious,2,Russia,UK
7,udp,35,3456,0,0,1,0,1,0,0,0,1,0,0,103,99,0.38047966462416005,0.5221825597867148,256,266,0.31700715570779125,0.4360951132705648,0.7335707593993964,0.3063429099243773,39,11,normal,1,USA,USA
5,tcp,111,231,0,0,0,0,1,0,0,0,0,0,0,109,109,0.7929721686001991,0.9724952488441048,245,254,0.8633441335873406,0.7880778185520799,0.9004055172171151,0.019377806168831002,43,2,normal,1,China,UK
3,tcp,3426,269,0,0,0,0,0,0,0,0,0,0,0,89,105,0.48189168910836544,0.22002776397891255,265,255,0.9415804529529991,0.0846325124348899,0.3783329958442754,0.8197802926774975,17,35,suspicious,2,USA,USA
9,tcp,565,382,0,0,1,0,0,1,0,0,0,1,0,114,98,0.9309973198607095,0.22933323776678038,270,245,0.9269658862228544,0.8375903317361549,0.8407405553124045,0.08545029321161246,48,39,normal,1,Unknown,USA
1,udp,36,280,0,0,1,0,0,0,0,0,0,0,0,102,100,0.9438846402609529,0.3810472388305416,245,258,0.7756269721450948,0.6315442369053679,0.14186946141538004,0.3258898712100269,31,33,normal,1,Russia,USA
3,tcp,21,2740,0,0,3,0,1,0,0,0,0,0,0,81,102,0.8592899467900247,0.12334303136600644,249,247,0.31558036928552535,0.1307546200825449,0.6728790457010295,0.7942680350392218,47,47,normal,1,India,USA
4,udp,51,84,0,0,0,0,0,0,0,0,0,1,0,103,93,0.7080850879217774,0.2953476234477943,241,249,0.1810224176262467,0.8377544459535108,0.1298011361428062,0.9166370125630712,2,5,normal,1,USA,Canada
6,tcp,33,130,0,0,0,0,0,0,0,0,0,0,0,100,92,0.22283672941872446,0.310125775366237,270,258,0.3822171552904067,0.9857486825401519,0.20506369344071973,0.8993642133980728,20,45,normal,1,USA,UK
